 14	SEA 	SF 	SUNDAY, DECEMBER 8TH	4:25PM ET			
 14	ATL 	GB 	SUNDAY, DECEMBER 8TH	8:30PM ET			
 14	DAL 	CHI 	MONDAY, DECEMBER 9TH	8:40PM ET			
 15	SD 	DEN 	THURSDAY, DECEMBER 12TH	8:25PM ET			
 15	CHI 	CLE 	SUNDAY, DECEMBER 15TH	1:00PM ET			
 15	HOU 	IND 	SUNDAY, DECEMBER 15TH	1:00PM ET			
 15	BUF 	JAC 	SUNDAY, DECEMBER 15TH	1:00PM ET			
 15	WAS 	ATL 	SUNDAY, DECEMBER 15TH	1:00PM ET			
 15	NE 	MIA 	SUNDAY, DECEMBER 15TH	1:00PM ET			
 15	SF 	TB 	SUNDAY, DECEMBER 15TH	1:00PM ET			
 15	SEA 	NYG 	SUNDAY, DECEMBER 15TH	1:00PM ET			
 15	NO 	STL 	SUNDAY, DECEMBER 15TH	1:00PM ET			
 15	PHI 	MIN 	SUNDAY, DECEMBER 15TH	1:00PM ET			
 15	ARI 	TEN 	SUNDAY, DECEMBER 15TH	1:00PM ET			
 15	NYJ 	CAR 	SUNDAY, DECEMBER 15TH	4:05PM ET			
 15	KAN 	OAK 	SUNDAY, DECEMBER 15TH	4:05PM ET			
 15	GB 	DAL 	SUNDAY, DECEMBER 15TH	4:25PM ET			
 15	CIN 	PIT 	SUNDAY, DECEMBER 15TH	8:30PM ET			
 15	BAL 	DET 	MONDAY, DECEMBER 16TH	8:40PM ET			
 16	MIN 	CIN 	SUNDAY, DECEMBER 22ND	1:00PM ET			
 16	MIA 	BUF 	SUNDAY, DECEMBER 22ND	1:00PM ET			
 16	IND 	KAN 	SUNDAY, DECEMBER 22ND	1:00PM ET			
 16	CLE 	NYJ 	SUNDAY, DECEMBER 22ND	1:00PM ET			
 16	DEN 	HOU 	SUNDAY, DECEMBER 22ND	1:00PM ET			
 16	TEN 	JAC 	SUNDAY, DECEMBER 22ND	1:00PM ET			
 16	DAL 	WAS 	SUNDAY, DECEMBER 22ND	1:00PM ET			
 16	CHI 	PHI 	SUNDAY, DECEMBER 22ND	1:00PM ET			
 16	NO 	CAR 	SUNDAY, DECEMBER 22ND	1:00PM ET			
 16	TB 	STL 	SUNDAY, DECEMBER 22ND	1:00PM ET			
 16	NYG 	DET 	SUNDAY, DECEMBER 22ND	4:05PM ET			
 16	ARI 	SEA 	SUNDAY, DECEMBER 22ND	4:05PM ET			
 16	PIT 	GB 	SUNDAY, DECEMBER 22ND	4:25PM ET			
 16	OAK 	SD 	SUNDAY, DECEMBER 22ND	4:25PM ET			
 16	NE 	BAL 	SUNDAY, DECEMBER 22ND	8:30PM ET			
 16	ATL 	SF 	MONDAY, DECEMBER 23RD	8:40PM ET			
 17	CAR 	ATL 	SUNDAY, DECEMBER 29TH	1:00PM ET			
 17	NYJ 	MIA 	SUNDAY, DECEMBER 29TH	1:00PM ET			
 17	BAL 	CIN 	SUNDAY, DECEMBER 29TH	1:00PM ET			
 17	BUF 	NE 	SUNDAY, DECEMBER 29TH	1:00PM ET			
 17	CLE 	PIT 	SUNDAY, DECEMBER 29TH	1:00PM ET			
 17	JAC 	IND 	SUNDAY, DECEMBER 29TH	1:00PM ET			
 17	HOU 	TEN 	SUNDAY, DECEMBER 29TH	1:00PM ET			
 17	DET 	MIN 	SUNDAY, DECEMBER 29TH	1:00PM ET			
 17	PHI 	DAL 	SUNDAY, DECEMBER 29TH	1:00PM ET			
 17	GB 	CHI 	SUNDAY, DECEMBER 29TH	1:00PM ET			
 17	WAS 	NYG 	SUNDAY, DECEMBER 29TH	1:00PM ET			
 17	TB 	NO 	SUNDAY, DECEMBER 29TH	1:00PM ET			
 17	STL 	SEA 	SUNDAY, DECEMBER 29TH	4:25PM ET			
 17	DEN 	OAK 	SUNDAY, DECEMBER 29TH	4:25PM ET			
 17	KAN 	SD 	SUNDAY, DECEMBER 29TH	4:25PM ET			
 17	SF 	ARI 	SUNDAY, DECEMBER 29TH	4:25PM ET			
